Fight,Name,Job,DPS,Rank,patch_number
Sugar Riot,Nyrith Blackwood,viper,22205.479320295,8,7.2
Sugar Riot,Elowyn Llothas,pictomancer,16061.715078995,0,7.2
Sugar Riot,Phalania Kelsyngra,darkknight,14297.45955135,15,7.2
Sugar Riot,Zury Fair,warrior,14037.344416838,6,7.2
Sugar Riot,Phalania Kelsyngra,darkknight,28334.8,8,7.2
Brute Abombinator,Elysande Outlawe,paladin,19039.198959373,31,7.2
Brute Abombinator,Moot Kaizoku,warrior,19033.838521342,29,7.2
Brute Abombinator,Elysande Outlawe,paladin,38073,39,7.2
Sugar Riot,Shirayuki Heiko,darkknight,11791.926330107,0,7.2
Sugar Riot,Oceane Aigue,paladin,14777.677021935,29,7.2
Sugar Riot,Shirayuki Heiko,darkknight,26569.6,0,7.2
Sugar Riot,Yukito Koyo,whitemage,10919.229008904,23,7.2
Sugar Riot,Heal Me,sage,12828.703978887,82,7.2
Sugar Riot,Yukito Koyo,whitemage,23747.9,67,7.2
Brute Abombinator,Roca Dragon,whitemage,11582.667816196,0,7.2
Brute Abombinator,Heal Me,sage,14511.339504492,43,7.2
Brute Abombinator,Roca Dragon,whitemage,26094,3,7.2
Sugar Riot,Killa Kilala,whitemage,11709.16652335,42,7.2
Sugar Riot,Ayaka Suzumiya,sage,14714.193023874,99,7.2
Sugar Riot,Killa Kilala,whitemage,26423.4,94,7.2
Sugar Riot,Zane Atreides,machinist,18331.117226786,2,7.2
Sugar Riot,Peri Winkel,redmage,20618.475017535,42,7.2
Sugar Riot,Palikka Likka,reaper,23859.628918556,74,7.2
Sugar Riot,Skau Emberhearth,viper,22680.318952912,12,7.2
Brute Abombinator,Coco Blxcked,blackmage,30453.577154612,39,7.2
Brute Abombinator,Shiro Kaze,dragoon,27967.776870254,28,7.2
Brute Abombinator,Yue Amari,monk,28460.299254916,36,7.2
Brute Abombinator,Karia Vae,dancer,22460.317028163,44,7.2
Sugar Riot,Komi Misliar,blackmage,29029.866637482,99,7.2
Sugar Riot,Oblyan Tenan,dancer,17827.626209722,33,7.2
Sugar Riot,Tiki Manakete,reaper,22055.869983271,31,7.2
Sugar Riot,Damix Lihzeh,viper,21779.39300894,5,7.2
Howling Blade,Ascuro Kazr,paladin,18713.702920812,46,7.2
Howling Blade,Alisa Oni,warrior,18570.262468582,32,7.2
Howling Blade,Ascuro Kazr,paladin,37284,46,7.2
Howling Blade,Poki Bunny,whitemage,12814.563852428,14,7.2
Howling Blade,Ino Oni,sage,14062.992941131,68,7.2
Howling Blade,Poki Bunny,whitemage,26877.6,42,7.2
Howling Blade,Nahiri Flamecaller,bard,18918.671334059,3,7.2
Howling Blade,Mik Kel,ninja,28451.614728287,84,7.2
Howling Blade,Davy Stormcall,viper,29292.774530291,38,7.2
Howling Blade,Mikuh Catness,pictomancer,26693.07161911,53,7.2
Dancing Green,Rem Isbestgirl,warrior,19882.507793907,41,7.2
Dancing Green,Neil Foyahainas,gunbreaker,18019.843936584,6,7.2
Dancing Green,Rem Isbestgirl,warrior,37902.4,19,7.2
Sugar Riot,Arlethia Orabelle,darkknight,17179.916343748,82,7.2
Sugar Riot,Asi Liserto,warrior,16903.918424382,80,7.2
Sugar Riot,Arlethia Orabelle,darkknight,34083.8,96,7.2
Brute Abombinator,Helena Volkova,darkknight,19767.804736133,46,7.2
Brute Abombinator,Julian Catsablancas,warrior,18403.707985981,12,7.2
Brute Abombinator,Helena Volkova,darkknight,38171.5,31,7.2
Dancing Green,Rico Pestano,scholar,14866.018900752,92,7.2
Dancing Green,Kaleb Zackarias,whitemage,11905.511399905,3,7.2
